technology,fuel
FT biofuels,Biomass
FT biofuels CCS level 1,Biomass CCS
FT biofuels CCS level 2,Biomass CCS
biodiesel,Biomass
cellulosic ethanol,Biomass
cellulosic ethanol CCS level 1,Biomass CCS
cellulosic ethanol CCS level 2,Biomass CCS
coal to liquids,Coal
coal to liquids CCS level 1,Coal CCS
coal to liquids CCS level 2,Coal CCS
corn ethanol,Biomass
gas to liquids,Natural Gas
oil refining,Oil
sugar cane ethanol,Biomass
